"Survey_Period","Treatment","Plot_ID","urchin_abun"
"Baseline","Boulder","11",4
"Baseline","Boulder","15",1
"Baseline","Boulder","17",1
"Baseline","Boulder","21",4
"Baseline","Boulder","22",1
"Baseline","Boulder","25",1
"Baseline","Boulder","3",3
"Baseline","Boulder","7",1
"Baseline","Boulder","8",1
"Baseline","Boulder","9",2
"Baseline","Control","10",1
"Baseline","Control","13",1
"Baseline","Control","19",1
"Baseline","Control","2",3
"Baseline","Control","20",1
"Baseline","Control","23",1
"Baseline","Control","26",2
"Baseline","Control","29",1
"Baseline","Control","4",1
"Baseline","Control","5",1
"Baseline","Mesh","1",1
"Baseline","Mesh","12",1
"Baseline","Mesh","14",3
"Baseline","Mesh","16",1
"Baseline","Mesh","18",1
"Baseline","Mesh","24",1
"Baseline","Mesh","27",1
"Baseline","Mesh","28",1
"Baseline","Mesh","30",1
"Baseline","Mesh","6",1
"T0_Post_Installation","Boulder","11",3
"T0_Post_Installation","Boulder","15",5
"T0_Post_Installation","Boulder","17",2
"T0_Post_Installation","Boulder","21",2
"T0_Post_Installation","Boulder","22",6
"T0_Post_Installation","Boulder","25",6
"T0_Post_Installation","Boulder","3",4
"T0_Post_Installation","Boulder","7",5
"T0_Post_Installation","Boulder","8",1
"T0_Post_Installation","Boulder","9",4
"T0_Post_Installation","Control","10",1
"T0_Post_Installation","Control","13",1
"T0_Post_Installation","Control","19",1
"T0_Post_Installation","Control","2",3
"T0_Post_Installation","Control","20",1
"T0_Post_Installation","Control","23",1
"T0_Post_Installation","Control","26",2
"T0_Post_Installation","Control","29",1
"T0_Post_Installation","Control","4",1
"T0_Post_Installation","Control","5",1
"T0_Post_Installation","Mesh","1",1
"T0_Post_Installation","Mesh","12",1
"T0_Post_Installation","Mesh","14",2
"T0_Post_Installation","Mesh","16",1
"T0_Post_Installation","Mesh","18",1
"T0_Post_Installation","Mesh","24",1
"T0_Post_Installation","Mesh","27",1
"T0_Post_Installation","Mesh","28",1
"T0_Post_Installation","Mesh","30",1
"T0_Post_Installation","Mesh","6",1
"T1_6mo_preoutplant","Boulder","11",14
"T1_6mo_preoutplant","Boulder","15",10
"T1_6mo_preoutplant","Boulder","17",6
"T1_6mo_preoutplant","Boulder","21",10
"T1_6mo_preoutplant","Boulder","22",10
"T1_6mo_preoutplant","Boulder","25",12
"T1_6mo_preoutplant","Boulder","3",9
"T1_6mo_preoutplant","Boulder","7",18
"T1_6mo_preoutplant","Boulder","8",7
"T1_6mo_preoutplant","Boulder","9",25
"T1_6mo_preoutplant","Control","10",1
"T1_6mo_preoutplant","Control","13",2
"T1_6mo_preoutplant","Control","19",1
"T1_6mo_preoutplant","Control","2",2
"T1_6mo_preoutplant","Control","20",1
"T1_6mo_preoutplant","Control","23",1
"T1_6mo_preoutplant","Control","26",1
"T1_6mo_preoutplant","Control","29",1
"T1_6mo_preoutplant","Control","4",1
"T1_6mo_preoutplant","Control","5",1
"T1_6mo_preoutplant","Mesh","1",1
"T1_6mo_preoutplant","Mesh","12",1
"T1_6mo_preoutplant","Mesh","14",1
"T1_6mo_preoutplant","Mesh","16",1
"T1_6mo_preoutplant","Mesh","18",2
"T1_6mo_preoutplant","Mesh","24",1
"T1_6mo_preoutplant","Mesh","27",1
"T1_6mo_preoutplant","Mesh","28",1
"T1_6mo_preoutplant","Mesh","30",1
"T1_6mo_preoutplant","Mesh","6",1
